Name,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
professional-programming,2015-11-07 05:07:52 +0000 UTC,2022-08-31 11:01:58 +0000 UTC,Python,0,28,0,12,No Releases,19928
rufus,2011-11-19 19:12:05 +0000 UTC,2022-08-31 09:07:04 +0000 UTC,C,72,0,11,1825,2022-08-03T15:49:31Z,19921
lightning,2019-03-31 00:45:57 +0000 UTC,2022-08-31 08:37:04 +0000 UTC,Python,101,5741,445,4859,2022-08-25T18:50:35Z,19883
monolog,2011-02-17 02:07:15 +0000 UTC,2022-08-31 01:54:40 +0000 UTC,PHP,60,647,20,723,2022-07-24T12:00:55Z,19870
generator-jhipster,2013-10-21 20:07:22 +0000 UTC,2022-08-31 02:34:37 +0000 UTC,JavaScript,24,11225,186,6902,2022-08-03T13:24:29Z,19864
autocomplete,2020-09-29 02:21:06 +0000 UTC,2022-08-31 10:46:35 +0000 UTC,TypeScript,1041,941,147,235,2022-08-31T08:17:47Z,19850
mpv,2012-10-13 08:08:44 +0000 UTC,2022-08-31 09:33:59 +0000 UTC,C,80,1285,799,6890,2022-01-03T19:45:34Z,19843
js-cookie,2015-03-19 15:57:47 +0000 UTC,2022-08-31 10:37:03 +0000 UTC,JavaScript,34,69,1,514,2021-09-01T10:42:42Z,19842
server,2016-06-02 07:44:14 +0000 UTC,2022-08-31 09:21:39 +0000 UTC,PHP,62,15988,2117,12259,2022-08-11T08:35:37Z,19839
netron,2010-12-26 12:53:43 +0000 UTC,2022-08-31 10:00:38 +0000 UTC,JavaScript,1,1,21,814,2022-08-11T03:03:36Z,19794
pop,2014-03-30 22:29:12 +0000 UTC,2022-08-29 02:24:37 +0000 UTC,Objective-C++,3,100,45,211,2018-10-11T22:12:26Z,19785
WaveFunctionCollapse,2016-09-30 11:53:17 +0000 UTC,2022-08-31 10:45:13 +0000 UTC,C#,1,18,1,43,2022-07-21T19:43:30Z,19779
rancher,2014-11-07 20:49:31 +0000 UTC,2022-08-31 11:07:44 +0000 UTC,Go,894,7390,2047,27570,2022-08-29T22:58:10Z,19776
snowpack,2019-02-26 15:45:38 +0000 UTC,2022-08-31 07:53:41 +0000 UTC,JavaScript,83,1203,345,533,2021-08-26T17:17:43Z,19773
Sentinel,2018-04-04 06:37:33 +0000 UTC,2022-08-31 08:54:36 +0000 UTC,Java,21,435,441,1452,2022-08-08T13:51:54Z,19758
ChromeAppHeroes,2019-02-07 06:35:24 +0000 UTC,2022-08-31 02:22:25 +0000 UTC,JavaScript,0,7,14,30,No Releases,19748
ExoPlayer,2014-06-13 21:19:18 +0000 UTC,2022-08-31 10:08:06 +0000 UTC,Java,20,533,628,8764,2022-07-22T09:32:58Z,19746
WeChatExtension-ForMac,2019-04-25 03:02:16 +0000 UTC,2022-08-31 11:03:23 +0000 UTC,Objective-C,48,45,795,803,2022-07-05T12:35:23Z,19723
